id,title,author,summary,goodreads_rating,amazon_link,cover_image,personalized_explanation,tags,difficulty_level,industry_focus,learning_style
1,The Design of Everyday Things: Revised and Expanded Edition,Author TBD,Summary TBD,4,https://amazon.com/dp/sm292jjil2,,Personalized explanation TBD,"user experience, interaction design, design thinking, visual design, usability testing",beginner,general,framework-driven
2,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Author TBD,Summary TBD,4,https://amazon.com/dp/fmsmfa3okc,,Personalized explanation TBD,"strategic leadership, decision making, product leadership, team management, conflict resolution",intermediate,general,narrative
3,Thinking in Systems,Author TBD,Summary TBD,4,https://amazon.com/dp/1sw8shs1dz,,Personalized explanation TBD,"strategic thinking, product development lifecycle, decision making, data analysis, business intelligence",advanced,general,theoretical
4,Commitments of Conscious Leadership: A New Paradigm for Sustainable Success,Author TBD,Summary TBD,4,https://amazon.com/dp/5pdggjpm6j,,Personalized explanation TBD,"strategic leadership, influence without authority, team management, decision making, professional development",intermediate,general,narrative
5,"Thinking, Fast and Slow",Author TBD,Summary TBD,4,https://amazon.com/dp/3hpw0iw72p,,Personalized explanation TBD,"decision making, user research, problem validation, a/b testing, user analytics",advanced,general,theoretical
6,Scaling People: Tactics for Management and Company Building,Author TBD,Summary TBD,4,https://amazon.com/dp/ivvdj2lpie,,Personalized explanation TBD,"organizational design, team management, strategic leadership, stakeholder management, mentoring",advanced,general,reference-style
7,Influence: The Psychology of Persuasion,Author TBD,Summary TBD,4,https://amazon.com/dp/2pgqdlr5cx,,Personalized explanation TBD,"storytelling, user research, product positioning, go-to-market strategy, presentation skills",beginner,general,narrative
8,The Goal: A Process of Ongoing Improvement,Author TBD,Summary TBD,4,https://amazon.com/dp/59najt88zf,,Personalized explanation TBD,"product development lifecycle, metrics & kpis, continuous delivery, experimentation, strategic thinking",intermediate,general,case studies
9,Replacing Guilt: Minding Our Way,Author TBD,Summary TBD,4,https://amazon.com/dp/0omctuebs3,,Personalized explanation TBD,"professional development, decision making, career transition, mentoring",beginner,general,narrative
10,Good Strategy Bad Strategy: The Difference and Why It Matters,Author TBD,Summary TBD,4,https://amazon.com/dp/6t2jfuui6y,,Personalized explanation TBD,"strategic thinking, product vision, product roadmap, business model, competitive analysis",intermediate,general,framework-driven
11,The Alignment Problem: Machine Learning and Human Values,Author TBD,Summary TBD,4,https://amazon.com/dp/2mbwprmurv,,Personalized explanation TBD,"strategic thinking, decision making, ai & emerging tech, product leadership, ethnographic research",advanced,general,theoretical
12,High Output Management,Author TBD,Summary TBD,4,https://amazon.com/dp/hpk7eywj56,,Personalized explanation TBD,"team management, metrics & kpis, strategic leadership, organizational design, product development lifecycle",intermediate,general,framework-driven
13,The Power Law: Venture Capital and the Making of the New Future,Author TBD,Summary TBD,4,https://amazon.com/dp/kwv3h90lgc,,Personalized explanation TBD,"business model, strategic thinking, b2b products, market research, go-to-market strategy",intermediate,general,narrative
14,Flow: The Psychology of Optimal Experience,Author TBD,Summary TBD,4,https://amazon.com/dp/oa5d0tqwbg,,Personalized explanation TBD,"professional development, decision making, mentoring, team management",advanced,general,theoretical
15,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Author TBD,Summary TBD,4,https://amazon.com/dp/bwhmtjn0fy,,Personalized explanation TBD,"strategic leadership, team management, product leadership, organizational design, storytelling",intermediate,general,narrative
16,The Ten Faces of Innovation: IDEO's Strategies for Beating the Devil's Advocate and Driving Creativity Throughout Your Organization,Author TBD,Summary TBD,4,https://amazon.com/dp/igz6416a6b,,Personalized explanation TBD,"design thinking, innovation, team management, user research, cross-functional collaboration",intermediate,general,framework-driven
17,Don't Believe Everything You Think (Expanded Edition): Why Your Thinking Is The Beginning & End Of Suffering,Author TBD,Summary TBD,4,https://amazon.com/dp/0w2lg030a1,,Personalized explanation TBD,"professional development, decision making, career transition, mentoring",beginner,general,narrative
18,The Ideal Executive,Author TBD,Summary TBD,4,https://amazon.com/dp/gv9au49g76,,Personalized explanation TBD,"strategic leadership, executive communication, organizational design, team management",intermediate,general,theoretical
19,The Undoing Project: A Friendship That Changed Our Minds,Author TBD,Summary TBD,4,https://amazon.com/dp/g03ip5ma5i,,Personalized explanation TBD,"decision making, user research, a/b testing, user analytics, data analysis",intermediate,general,narrative
20,Setting the Table: The Transforming Power of Hospitality in Business,Author TBD,Summary TBD,4,https://amazon.com/dp/44p1knz6l7,,Personalized explanation TBD,"stakeholder management, user experience, public speaking, storytelling, professional development",beginner,general,narrative
21,Scientific Advertising: Original Classic Edition,Author TBD,Summary TBD,4,https://amazon.com/dp/s23su0frf,,Personalized explanation TBD,"product positioning, go-to-market strategy, market research, a/b testing, user analytics",beginner,general,framework-driven
22,The Creative Act: A Way of Being,Author TBD,Summary TBD,4,https://amazon.com/dp/7emjbk5stf,,Personalized explanation TBD,"storytelling, professional development, innovation, mentoring, presentation skills",beginner,general,narrative
23,Inside Paragraphs: Typographic Fundamentals,Author TBD,Summary TBD,4,https://amazon.com/dp/deds1p8iky,,Personalized explanation TBD,"visual design, written communication, user experience, information architecture",beginner,general,reference-style
24,The Origin of Wealth: The Radical Remaking of Economics and What it Means for Business and Society,Author TBD,Summary TBD,4,https://amazon.com/dp/46ohquvhri,,Personalized explanation TBD,"business model, strategic thinking, market research, product vision",advanced,general,theoretical
25,Misbehaving: The Making of Behavioral Economics,Author TBD,Summary TBD,4,https://amazon.com/dp/dqw9fj174i,,Personalized explanation TBD,"decision making, a/b testing, user analytics, strategic thinking",intermediate,general,narrative
26,Small Data: The Tiny Clues That Uncover Huge Trends,Author TBD,Summary TBD,4,https://amazon.com/dp/1ucjve86in,,Personalized explanation TBD,"ethnographic research, user research, market research, problem validation, customer discovery",intermediate,general,case studies
27,What Got You Here Won't Get You There: How Successful People Become Even More Successful,Author TBD,Summary TBD,4,https://amazon.com/dp/w3s4qtuvqg,,Personalized explanation TBD,"professional development, mentoring, strategic leadership, executive communication",beginner,general,framework-driven
28,Mindset: The New Psychology of Success,Author TBD,Summary TBD,4,https://amazon.com/dp/oenl7j0w0s,,Personalized explanation TBD,"professional development, career transition, mentoring, decision making",beginner,general,narrative
29,The Conversation: How Seeking and Speaking the Truth About Racism Can Radically Transform Individuals and Organizations,Author TBD,Summary TBD,4,https://amazon.com/dp/nimr4s4sez,,Personalized explanation TBD,"strategic leadership, team management, executive communication, professional development, cross-functional collaboration",intermediate,general,narrative
30,The Person and the Situation: Perspectives of Social Psychology,Author TBD,Summary TBD,4,https://amazon.com/dp/d1agucbi63,,Personalized explanation TBD,"user research, decision making, problem validation, user personas",advanced,general,theoretical
31,Deep Work: Rules for Focused Success in a Distracted World,Author TBD,Summary TBD,4,https://amazon.com/dp/a9s9nxwc6j,,Personalized explanation TBD,"professional development, decision making, mentoring, strategic thinking",beginner,general,framework-driven
32,The Mission Critical Core/Context Model For Product Managers,Author TBD,Summary TBD,4,https://amazon.com/dp/x3s3npknxa,,Personalized explanation TBD,"product vision, product roadmap, strategic thinking, product leadership, feature prioritization",intermediate,general,framework-driven
33,Creating Intelligent Teams,Author TBD,Summary TBD,4,https://amazon.com/dp/ws3wnnmbft,,Personalized explanation TBD,"team management, cross-functional collaboration, strategic leadership, mentoring",intermediate,general,case studies
34,"Bad Leadership: What It Is, How It Happens, Why It Matters",Author TBD,Summary TBD,4,https://amazon.com/dp/0yo9vywwbj,,Personalized explanation TBD,"strategic leadership, team management, organizational design, conflict resolution",intermediate,general,case studies
35,The Five Temptations of a CEO: A Leadership Fable,Author TBD,Summary TBD,4,https://amazon.com/dp/j8wlx55hnu,,Personalized explanation TBD,"strategic leadership, decision making, executive communication, organizational design",beginner,general,narrative
36,The Five Dysfunctions of a Team: A Leadership Fable,Author TBD,Summary TBD,4,https://amazon.com/dp/xan0rg8158,,Personalized explanation TBD,"team management, cross-functional collaboration, conflict resolution, mentoring",beginner,general,narrative
37,How Brands Grow: What Marketers Don't Know,Author TBD,Summary TBD,4,https://amazon.com/dp/f2qp5hx1p3,,Personalized explanation TBD,"product positioning, go-to-market strategy, market research, b2c products, product-market fit",advanced,general,theoretical
38,Escaping the Build Trap: How Effective Product Management Creates Real Value,Author TBD,Summary TBD,4,https://amazon.com/dp/9aghn3aokf,,Personalized explanation TBD,"product leadership, product development lifecycle, product vision, feature prioritization, product-market fit",intermediate,general,framework-driven
39,The Practice of Management,Author TBD,Summary TBD,4,https://amazon.com/dp/eswu0ts6qb,,Personalized explanation TBD,"strategic leadership, organizational design, team management, business model, product leadership",advanced,general,reference-style
40,The Challenger Sale: Taking Control of the Customer Conversation,Author TBD,Summary TBD,4,https://amazon.com/dp/eulrar087j,,Personalized explanation TBD,"go-to-market strategy, b2b products, product positioning, storytelling, executive communication",intermediate,general,framework-driven
41,Leadership: In Turbulent Times,Author TBD,Summary TBD,4,https://amazon.com/dp/znvhh22pc,,Personalized explanation TBD,"strategic leadership, decision making, organizational design, team management",advanced,general,case studies
42,Leadership and Self-Deception: Getting Out of the Box,Author TBD,Summary TBD,4,https://amazon.com/dp/o2av5aumlm,,Personalized explanation TBD,"team management, conflict resolution, professional development, mentoring",beginner,general,narrative
43,"Amp It Up: Leading for Hypergrowth by Raising Expectations, Increasing Urgency, and Elevating Intensity",Author TBD,Summary TBD,4,https://amazon.com/dp/xez0yrtwxu,,Personalized explanation TBD,"strategic leadership, product leadership, organizational design, team management",intermediate,general,narrative
44,Inspired: How to Create Tech Products Customers Love,Author TBD,Summary TBD,4,https://amazon.com/dp/cl40jt2wm6,,Personalized explanation TBD,"product vision, product leadership, feature prioritization, product-market fit, product development lifecycle",intermediate,general,framework-driven
45,"Empowered: Ordinary People, Extraordinary Products",Author TBD,Summary TBD,4,https://amazon.com/dp/np60bjk5mr,,Personalized explanation TBD,"product leadership, strategic leadership, cross-functional collaboration, team management, mentoring",intermediate,general,framework-driven
46,Continuous Discovery Habits,Author TBD,Summary TBD,4,https://amazon.com/dp/6wjcueptqk,,Personalized explanation TBD,"continuous discovery, user research, customer discovery, problem validation, user interviews",intermediate,general,framework-driven
47,Lean Product and Lean Analytics,Author TBD,Summary TBD,4,https://amazon.com/dp/8ylzarakva,,Personalized explanation TBD,"lean startup, metrics & kpis, data analysis, experimentation, product-market fit",intermediate,general,framework-driven
48,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Author TBD,Summary TBD,4,https://amazon.com/dp/yttbbwd4fd,,Personalized explanation TBD,"lean startup, experimentation, product-market fit, metrics & kpis, product development lifecycle",beginner,general,framework-driven
49,The Four Steps to the Epiphany: Successful Strategies for Products that Win,Author TBD,Summary TBD,4,https://amazon.com/dp/zrz3wunftz,,Personalized explanation TBD,"customer discovery, market validation, go-to-market strategy, product-market fit, b2b products",advanced,general,framework-driven
50,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Author TBD,Summary TBD,4,https://amazon.com/dp/jrmk3x9myz,,Personalized explanation TBD,"design sprint, prototyping, user testing, problem validation, cross-functional collaboration",beginner,general,framework-driven
51,Loonshots,Author TBD,Summary TBD,4,https://amazon.com/dp/bgnn7wyrbs,,Personalized explanation TBD,"strategic thinking, innovation, product vision, organizational design, product development lifecycle",intermediate,general,narrative
52,The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Author TBD,Summary TBD,4,https://amazon.com/dp/287i09onzn,,Personalized explanation TBD,"strategic thinking, product vision, product-market fit, b2b products, product development lifecycle",advanced,general,case studies
53,The Jobs To Be Done Playbook,Author TBD,Summary TBD,4,https://amazon.com/dp/3uuntfkl0v,,Personalized explanation TBD,"jobs-to-be-done, problem validation, customer discovery, user research, product strategy",intermediate,general,framework-driven
54,Lean UX,Author TBD,Summary TBD,4,https://amazon.com/dp/6tv10ezfuo,,Personalized explanation TBD,"user research, prototyping, agile methodology, design thinking, cross-functional collaboration",intermediate,general,framework-driven
55,Thinking in Bets,Author TBD,Summary TBD,4,https://amazon.com/dp/kxzmh6hs3p,,Personalized explanation TBD,"decision making, strategic thinking, experimentation, product leadership",intermediate,general,narrative
56,Design Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Author TBD,Summary TBD,4,https://amazon.com/dp/mrq2m9nnot,,Personalized explanation TBD,"design sprint, prototyping, user research, problem validation, cross-functional collaboration",beginner,general,framework-driven
57,Interviewing Users,Author TBD,Summary TBD,4,https://amazon.com/dp/93cidv36sq,,Personalized explanation TBD,"user interviews, user research, ethnographic research, problem validation, customer discovery",beginner,general,framework-driven
58,This is Service Design Doing,Author TBD,Summary TBD,4,https://amazon.com/dp/ju43xbhg27,,Personalized explanation TBD,"user experience, service design, design thinking, user research, cross-functional collaboration",advanced,general,reference-style
59,The Manager's Path,Author TBD,Summary TBD,4,https://amazon.com/dp/1bwy6xyt0j,,Personalized explanation TBD,"team management, mentoring, strategic leadership, professional development, organizational design",intermediate,general,framework-driven
60,A Philosophy of Software Design,Author TBD,Summary TBD,4,https://amazon.com/dp/q42k6dakcg,,Personalized explanation TBD,"product development lifecycle, technical skills, strategic thinking, b2b products",advanced,general,theoretical
61,System Design Interview: An Insider's Guide,Author TBD,Summary TBD,4,https://amazon.com/dp/fvzrg64vo6,,Personalized explanation TBD,"product development lifecycle, technical skills, b2b products, saas, interview preparation",advanced,general,reference-style
62,Think Like a UX Researcher,Author TBD,Summary TBD,4,https://amazon.com/dp/s2myaex4qu,,Personalized explanation TBD,"user research, usability testing, ethnographic research, user interviews, problem validation",intermediate,general,framework-driven
63,Making Things Happen,Author TBD,Summary TBD,4,https://amazon.com/dp/hqspi7h39k,,Personalized explanation TBD,"product development lifecycle, project management, cross-functional collaboration, team management, decision making",intermediate,general,framework-driven
64,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Author TBD,Summary TBD,4,https://amazon.com/dp/sc0youo6lz,,Personalized explanation TBD,"team management, mentoring, executive communication, conflict resolution, professional development",beginner,general,narrative
65,Selling to Big Companies: Winning Strategies for Landing the Clients You Want,Author TBD,Summary TBD,4,https://amazon.com/dp/tvuoykhxx6,,Personalized explanation TBD,"go-to-market strategy, b2b products, stakeholder management, product positioning, sales enablement",intermediate,general,framework-driven
66,Hooked: How to Build Habit-Forming Products,Author TBD,Summary TBD,4,https://amazon.com/dp/e5oyoat008,,Personalized explanation TBD,"user experience, product-market fit, user research, b2c products, behavioral design",beginner,general,framework-driven
67,The Mom Test,Author TBD,Summary TBD,4,https://amazon.com/dp/wayslw0wkd,,Personalized explanation TBD,"customer discovery, problem validation, user interviews, market validation, b2b products",beginner,general,framework-driven
68,Build: An Unorthodox Guide to Making Things Worth Making,Author TBD,Summary TBD,4,https://amazon.com/dp/3g6g1anvbe,,Personalized explanation TBD,"product leadership, product vision, professional development, b2c products, career transition",intermediate,general,narrative
69,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",Author TBD,Summary TBD,4,https://amazon.com/dp/u9jo9513wl,,Personalized explanation TBD,"metrics & kpis, strategic leadership, product vision, team management, experimentation",intermediate,general,case studies
70,"Play Bigger: How Pirates, Dreamers, and Innovators Create and Dominate Markets",Author TBD,Summary TBD,4,https://amazon.com/dp/ewwwya8rtx,,Personalized explanation TBD,"product positioning, go-to-market strategy, product vision, market research, b2c products",intermediate,general,case studies
71,Blue Ocean Strategy,Author TBD,Summary TBD,4,https://amazon.com/dp/zi9p4t8pn1,,Personalized explanation TBD,"product positioning, go-to-market strategy, strategic thinking, market research, business model",intermediate,general,framework-driven
72,Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Author TBD,Summary TBD,4,https://amazon.com/dp/6ydiienmvv,,Personalized explanation TBD,"go-to-market strategy, product-market fit, b2b products, market research, product positioning",intermediate,general,framework-driven
73,Product-Led Growth: How to Build a Product That Sells Itself,Author TBD,Summary TBD,4,https://amazon.com/dp/tmlnpfr87f,,Personalized explanation TBD,"product-market fit, user experience, growth, saas, conversion optimization",intermediate,general,framework-driven
74,"Obviously Awesome: How to Nail Product Positioning So Customers Get It, Buy It, Love It",Author TBD,Summary TBD,4,https://amazon.com/dp/4lays6ztgw,,Personalized explanation TBD,"product positioning, go-to-market strategy, market research, b2b products, b2c products",beginner,general,framework-driven
75,"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",Author TBD,Summary TBD,4,https://amazon.com/dp/ifd054b6tk,,Personalized explanation TBD,"""product leadership, product vision, strategic thinking, team management, customer discovery"" ",intermediate,general,case studies 
