ID,Title,Author,Summary,Goodreads Rating,Amazon Link,Cover Image URL,Personalized Explanation,Tags,Difficulty Level,Industry Focus,Learning Style,ISBN,Has Cover
1,The Design of Everyday Things: Revised and Expanded Edition,Author TBD,Summary TBD,4,https://amazon.com/dp/sm292jjil2,https://images-na.ssl-images-amazon.com/images/P/0465050654.01.L.jpg,Personalized explanation TBD,"user experience, interaction design, design thinking, visual design, usability testing",beginner,general,framework-driven,0465050654,Yes
2,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Author TBD,Summary TBD,4,https://amazon.com/dp/fmsmfa3okc,https://images-na.ssl-images-amazon.com/images/P/0062273205.01.L.jpg,Personalized explanation TBD,"strategic leadership, decision making, product leadership, team management, conflict resolution",intermediate,general,narrative,0062273205,Yes
3,Thinking in Systems,Author TBD,Summary TBD,4,https://amazon.com/dp/1sw8shs1dz,https://images-na.ssl-images-amazon.com/images/P/1603580557.01.L.jpg,Personalized explanation TBD,"strategic thinking, product development lifecycle, decision making, data analysis, business intelligence",advanced,general,theoretical,1603580557,Yes
4,Commitments of Conscious Leadership: A New Paradigm for Sustainable Success,Author TBD,Summary TBD,4,https://amazon.com/dp/5pdggjpm6j,https://images-na.ssl-images-amazon.com/images/P/1948836008.01.L.jpg,Personalized explanation TBD,"strategic leadership, influence without authority, team management, decision making, professional development",intermediate,general,narrative,1948836008,Yes
5,"Thinking, Fast and Slow",Author TBD,Summary TBD,4,https://amazon.com/dp/3hpw0iw72p,https://images-na.ssl-images-amazon.com/images/P/0374533555.01.L.jpg,Personalized explanation TBD,"decision making, user research, problem validation, a/b testing, user analytics",advanced,general,theoretical,0374533555,Yes
6,Scaling People: Tactics for Management and Company Building,Author TBD,Summary TBD,4,https://amazon.com/dp/ivvdj2lpie,https://images-na.ssl-images-amazon.com/images/P/1736096802.01.L.jpg,Personalized explanation TBD,"organizational design, team management, strategic leadership, stakeholder management, mentoring",advanced,general,reference-style,1736096802,Yes
7,Influence: The Psychology of Persuasion,Author TBD,Summary TBD,4,https://amazon.com/dp/2pgqdlr5cx,https://images-na.ssl-images-amazon.com/images/P/006124189X.01.L.jpg,Personalized explanation TBD,"storytelling, user research, product positioning, go-to-market strategy, presentation skills",beginner,general,narrative,006124189X,Yes
8,The Goal: A Process of Ongoing Improvement,Author TBD,Summary TBD,4,https://amazon.com/dp/59najt88zf,https://images-na.ssl-images-amazon.com/images/P/0884271951.01.L.jpg,Personalized explanation TBD,"product development lifecycle, metrics & kpis, continuous delivery, experimentation, strategic thinking",intermediate,general,case studies,0884271951,Yes
9,Replacing Guilt: Minding Our Way,Author TBD,Summary TBD,4,https://amazon.com/dp/0omctuebs3,https://images-na.ssl-images-amazon.com/images/P/0990476302.01.L.jpg,Personalized explanation TBD,"professional development, decision making, career transition, mentoring",beginner,general,narrative,0990476302,Yes
10,Good Strategy Bad Strategy: The Difference and Why It Matters,Author TBD,Summary TBD,4,https://amazon.com/dp/6t2jfuui6y,https://images-na.ssl-images-amazon.com/images/P/0307886239.01.L.jpg,Personalized explanation TBD,"strategic thinking, product vision, product roadmap, business model, competitive analysis",intermediate,general,framework-driven,0307886239,Yes
11,The Alignment Problem: Machine Learning and Human Values,Author TBD,Summary TBD,4,https://amazon.com/dp/2mbwprmurv,https://images-na.ssl-images-amazon.com/images/P/0393635821.01.L.jpg,Personalized explanation TBD,"strategic thinking, decision making, ai & emerging tech, product leadership, ethnographic research",advanced,general,theoretical,0393635821,Yes
12,High Output Management,Author TBD,Summary TBD,4,https://amazon.com/dp/hpk7eywj56,https://images-na.ssl-images-amazon.com/images/P/0679722884.01.L.jpg,Personalized explanation TBD,"team management, metrics & kpis, strategic leadership, organizational design, product development lifecycle",intermediate,general,framework-driven,0679722884,Yes
13,The Power Law: Venture Capital and the Making of the New Future,Author TBD,Summary TBD,4,https://amazon.com/dp/kwv3h90lgc,https://images-na.ssl-images-amazon.com/images/P/1982115844.01.L.jpg,Personalized explanation TBD,"business model, strategic thinking, b2b products, market research, go-to-market strategy",intermediate,general,narrative,1982115844,Yes
14,Flow: The Psychology of Optimal Experience,Author TBD,Summary TBD,4,https://amazon.com/dp/oa5d0tqwbg,https://images-na.ssl-images-amazon.com/images/P/0061339202.01.L.jpg,Personalized explanation TBD,"professional development, decision making, mentoring, team management",advanced,general,theoretical,0061339202,Yes
15,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Author TBD,Summary TBD,4,https://amazon.com/dp/bwhmtjn0fy,https://images-na.ssl-images-amazon.com/images/P/0812993012.01.L.jpg,Personalized explanation TBD,"strategic leadership, team management, product leadership, organizational design, storytelling",intermediate,general,narrative,0812993012,Yes
16,The Ten Faces of Innovation: IDEO's Strategies for Beating the Devil's Advocate and Driving Creativity Throughout Your Organization,Author TBD,Summary TBD,4,https://amazon.com/dp/igz6416a6b,https://images-na.ssl-images-amazon.com/images/P/0385512074.01.L.jpg,Personalized explanation TBD,"design thinking, innovation, team management, user research, cross-functional collaboration",intermediate,general,framework-driven,0385512074,Yes
17,Don't Believe Everything You Think (Expanded Edition): Why Your Thinking Is The Beginning & End Of Suffering,Author TBD,Summary TBD,4,https://amazon.com/dp/0w2lg030a1,https://images-na.ssl-images-amazon.com/images/P/097879197X.01.L.jpg,Personalized explanation TBD,"professional development, decision making, career transition, mentoring",beginner,general,narrative,097879197X,Yes
18,The Ideal Executive,Author TBD,Summary TBD,4,https://amazon.com/dp/gv9au49g76,https://images-na.ssl-images-amazon.com/images/P/0814407683.01.L.jpg,Personalized explanation TBD,"strategic leadership, executive communication, organizational design, team management",intermediate,general,theoretical,0814407683,Yes
19,The Undoing Project: A Friendship That Changed Our Minds,Author TBD,Summary TBD,4,https://amazon.com/dp/g03ip5ma5i,https://images-na.ssl-images-amazon.com/images/P/0393254597.01.L.jpg,Personalized explanation TBD,"decision making, user research, a/b testing, user analytics, data analysis",intermediate,general,narrative,0393254597,Yes
20,Setting the Table: The Transforming Power of Hospitality in Business,Author TBD,Summary TBD,4,https://amazon.com/dp/44p1knz6l7,https://images-na.ssl-images-amazon.com/images/P/0061346683.01.L.jpg,Personalized explanation TBD,"stakeholder management, user experience, public speaking, storytelling, professional development",beginner,general,narrative,0061346683,Yes
21,Scientific Advertising: Original Classic Edition,Author TBD,Summary TBD,4,https://amazon.com/dp/s23su0frf,https://images-na.ssl-images-amazon.com/images/P/1614275014.01.L.jpg,Personalized explanation TBD,"product positioning, go-to-market strategy, market research, a/b testing, user analytics",beginner,general,framework-driven,1614275014,Yes
22,The Creative Act: A Way of Being,Author TBD,Summary TBD,4,https://amazon.com/dp/7emjbk5stf,https://images-na.ssl-images-amazon.com/images/P/0593652886.01.L.jpg,Personalized explanation TBD,"storytelling, professional development, innovation, mentoring, presentation skills",beginner,general,narrative,0593652886,Yes
23,Inside Paragraphs: Typographic Fundamentals,Author TBD,Summary TBD,4,https://amazon.com/dp/deds1p8iky,https://images-na.ssl-images-amazon.com/images/P/097879197X.01.L.jpg,Personalized explanation TBD,"visual design, written communication, user experience, information architecture",beginner,general,reference-style,097879197X,Yes
24,The Origin of Wealth: The Radical Remaking of Economics and What it Means for Business and Society,Author TBD,Summary TBD,4,https://amazon.com/dp/46ohquvhri,https://images-na.ssl-images-amazon.com/images/P/1422126965.01.L.jpg,Personalized explanation TBD,"business model, strategic thinking, market research, product vision",advanced,general,theoretical,1422126965,Yes
25,Misbehaving: The Making of Behavioral Economics,Author TBD,Summary TBD,4,https://amazon.com/dp/dqw9fj174i,https://images-na.ssl-images-amazon.com/images/P/039335477X.01.L.jpg,Personalized explanation TBD,"decision making, a/b testing, user analytics, strategic thinking",intermediate,general,narrative,039335477X,Yes
26,Small Data: The Tiny Clues That Uncover Huge Trends,Author TBD,Summary TBD,4,https://amazon.com/dp/1ucjve86in,https://images-na.ssl-images-amazon.com/images/P/1250080686.01.L.jpg,Personalized explanation TBD,"ethnographic research, user research, market research, problem validation, customer discovery",intermediate,general,case studies,1250080686,Yes
27,What Got You Here Won't Get You There: How Successful People Become Even More Successful,Author TBD,Summary TBD,4,https://amazon.com/dp/w3s4qtuvqg,https://images-na.ssl-images-amazon.com/images/P/1401301304.01.L.jpg,Personalized explanation TBD,"professional development, mentoring, strategic leadership, executive communication",beginner,general,framework-driven,1401301304,Yes
28,Mindset: The New Psychology of Success,Author TBD,Summary TBD,4,https://amazon.com/dp/oenl7j0w0s,https://images-na.ssl-images-amazon.com/images/P/0345472322.01.L.jpg,Personalized explanation TBD,"professional development, career transition, mentoring, decision making",beginner,general,narrative,0345472322,Yes
29,The Conversation: How Seeking and Speaking the Truth About Racism Can Radically Transform Individuals and Organizations,Author TBD,Summary TBD,4,https://amazon.com/dp/nimr4s4sez,,Personalized explanation TBD,"strategic leadership, team management, executive communication, professional development, cross-functional collaboration",intermediate,general,narrative,,No
30,The Person and the Situation: Perspectives of Social Psychology,Author TBD,Summary TBD,4,https://amazon.com/dp/d1agucbi63,https://images-na.ssl-images-amazon.com/images/P/0078035295.01.L.jpg,Personalized explanation TBD,"user research, decision making, problem validation, user personas",advanced,general,theoretical,0078035295,Yes
31,Deep Work: Rules for Focused Success in a Distracted World,Author TBD,Summary TBD,4,https://amazon.com/dp/a9s9nxwc6j,https://images-na.ssl-images-amazon.com/images/P/1455586692.01.L.jpg,Personalized explanation TBD,"professional development, decision making, mentoring, strategic thinking",beginner,general,framework-driven,1455586692,Yes
32,The Mission Critical Core/Context Model For Product Managers,Author TBD,Summary TBD,4,https://amazon.com/dp/x3s3npknxa,https://images-na.ssl-images-amazon.com/images/P/1736096802.01.L.jpg,Personalized explanation TBD,"product vision, product roadmap, strategic thinking, product leadership, feature prioritization",intermediate,general,framework-driven,1736096802,Yes
33,Creating Intelligent Teams,Author TBD,Summary TBD,4,https://amazon.com/dp/ws3wnnmbft,https://images-na.ssl-images-amazon.com/images/P/1736096802.01.L.jpg,Personalized explanation TBD,"team management, cross-functional collaboration, strategic leadership, mentoring",intermediate,general,case studies,1736096802,Yes
34,"Bad Leadership: What It Is, How It Happens, Why It Matters",Author TBD,Summary TBD,4,https://amazon.com/dp/0yo9vywwbj,https://images-na.ssl-images-amazon.com/images/P/1591391660.01.L.jpg,Personalized explanation TBD,"strategic leadership, team management, organizational design, conflict resolution",intermediate,general,case studies,1591391660,Yes
35,The Five Temptations of a CEO: A Leadership Fable,Author TBD,Summary TBD,4,https://amazon.com/dp/j8wlx55hnu,https://images-na.ssl-images-amazon.com/images/P/0787944336.01.L.jpg,Personalized explanation TBD,"strategic leadership, decision making, executive communication, organizational design",beginner,general,narrative,0787944336,Yes
36,The Five Dysfunctions of a Team: A Leadership Fable,Author TBD,Summary TBD,4,https://amazon.com/dp/xan0rg8158,https://images-na.ssl-images-amazon.com/images/P/0787960758.01.L.jpg,Personalized explanation TBD,"team management, cross-functional collaboration, conflict resolution, mentoring",beginner,general,narrative,0787960758,Yes
37,How Brands Grow: What Marketers Don't Know,Author TBD,Summary TBD,4,https://amazon.com/dp/f2qp5hx1p3,https://images-na.ssl-images-amazon.com/images/P/0195573560.01.L.jpg,Personalized explanation TBD,"product positioning, go-to-market strategy, market research, b2c products, product-market fit",advanced,general,theoretical,0195573560,Yes
38,Escaping the Build Trap: How Effective Product Management Creates Real Value,Author TBD,Summary TBD,4,https://amazon.com/dp/9aghn3aokf,https://images-na.ssl-images-amazon.com/images/P/149197379X.01.L.jpg,Personalized explanation TBD,"product leadership, product development lifecycle, product vision, feature prioritization, product-market fit",intermediate,general,framework-driven,149197379X,Yes
39,The Practice of Management,Author TBD,Summary TBD,4,https://amazon.com/dp/eswu0ts6qb,https://images-na.ssl-images-amazon.com/images/P/0060878975.01.L.jpg,Personalized explanation TBD,"strategic leadership, organizational design, team management, business model, product leadership",advanced,general,reference-style,0060878975,Yes
40,The Challenger Sale: Taking Control of the Customer Conversation,Author TBD,Summary TBD,4,https://amazon.com/dp/eulrar087j,https://images-na.ssl-images-amazon.com/images/P/1591844355.01.L.jpg,Personalized explanation TBD,"go-to-market strategy, b2b products, product positioning, storytelling, executive communication",intermediate,general,framework-driven,1591844355,Yes
41,Leadership: In Turbulent Times,Author TBD,Summary TBD,4,https://amazon.com/dp/znvhh22pc,https://images-na.ssl-images-amazon.com/images/P/1476759483.01.L.jpg,Personalized explanation TBD,"strategic leadership, decision making, organizational design, team management",advanced,general,case studies,1476759483,Yes
42,Leadership and Self-Deception: Getting Out of the Box,Author TBD,Summary TBD,4,https://amazon.com/dp/o2av5aumlm,https://images-na.ssl-images-amazon.com/images/P/1576751747.01.L.jpg,Personalized explanation TBD,"team management, conflict resolution, professional development, mentoring",beginner,general,narrative,1576751747,Yes
43,"Amp It Up: Leading for Hypergrowth by Raising Expectations, Increasing Urgency, and Elevating Intensity",Author TBD,Summary TBD,4,https://amazon.com/dp/xez0yrtwxu,https://images-na.ssl-images-amazon.com/images/P/1119833593.01.L.jpg,Personalized explanation TBD,"strategic leadership, product leadership, organizational design, team management",intermediate,general,narrative,1119833593,Yes
44,Inspired: How to Create Tech Products Customers Love,Author TBD,Summary TBD,4,https://amazon.com/dp/cl40jt2wm6,https://images-na.ssl-images-amazon.com/images/P/1119387507.01.L.jpg,Personalized explanation TBD,"product vision, product leadership, feature prioritization, product-market fit, product development lifecycle",intermediate,general,framework-driven,1119387507,Yes
45,"Empowered: Ordinary People, Extraordinary Products",Author TBD,Summary TBD,4,https://amazon.com/dp/np60bjk5mr,https://images-na.ssl-images-amazon.com/images/P/111969129X.01.L.jpg,Personalized explanation TBD,"product leadership, strategic leadership, cross-functional collaboration, team management, mentoring",intermediate,general,framework-driven,111969129X,Yes
46,Continuous Discovery Habits,Author TBD,Summary TBD,4,https://amazon.com/dp/6wjcueptqk,https://images-na.ssl-images-amazon.com/images/P/1736633309.01.L.jpg,Personalized explanation TBD,"continuous discovery, user research, customer discovery, problem validation, user interviews",intermediate,general,framework-driven,1736633309,Yes
47,Lean Product and Lean Analytics,Author TBD,Summary TBD,4,https://amazon.com/dp/8ylzarakva,https://images-na.ssl-images-amazon.com/images/P/1449305632.01.L.jpg,Personalized explanation TBD,"lean startup, metrics & kpis, data analysis, experimentation, product-market fit",intermediate,general,framework-driven,1449305632,Yes
48,The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Author TBD,Summary TBD,4,https://amazon.com/dp/yttbbwd4fd,https://images-na.ssl-images-amazon.com/images/P/0307887898.01.L.jpg,Personalized explanation TBD,"lean startup, experimentation, product-market fit, metrics & kpis, product development lifecycle",beginner,general,framework-driven,0307887898,Yes
49,The Four Steps to the Epiphany: Successful Strategies for Products that Win,Author TBD,Summary TBD,4,https://amazon.com/dp/zrz3wunftz,https://images-na.ssl-images-amazon.com/images/P/0976470705.01.L.jpg,Personalized explanation TBD,"customer discovery, market validation, go-to-market strategy, product-market fit, b2b products",advanced,general,framework-driven,0976470705,Yes
50,Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Author TBD,Summary TBD,4,https://amazon.com/dp/jrmk3x9myz,https://images-na.ssl-images-amazon.com/images/P/1501121744.01.L.jpg,Personalized explanation TBD,"design sprint, prototyping, user testing, problem validation, cross-functional collaboration",beginner,general,framework-driven,1501121744,Yes
51,Loonshots,Author TBD,Summary TBD,4,https://amazon.com/dp/bgnn7wyrbs,https://images-na.ssl-images-amazon.com/images/P/1250185963.01.L.jpg,Personalized explanation TBD,"strategic thinking, innovation, product vision, organizational design, product development lifecycle",intermediate,general,narrative,1250185963,Yes
52,The Innovator's Dilemma: When New Technologies Cause Great Firms to Fail,Author TBD,Summary TBD,4,https://amazon.com/dp/287i09onzn,https://images-na.ssl-images-amazon.com/images/P/1633691784.01.L.jpg,Personalized explanation TBD,"strategic thinking, product vision, product-market fit, b2b products, product development lifecycle",advanced,general,case studies,1633691784,Yes
53,The Jobs To Be Done Playbook,Author TBD,Summary TBD,4,https://amazon.com/dp/3uuntfkl0v,https://images-na.ssl-images-amazon.com/images/P/0990476302.01.L.jpg,Personalized explanation TBD,"jobs-to-be-done, problem validation, customer discovery, user research, product strategy",intermediate,general,framework-driven,0990476302,Yes
54,Lean UX,Author TBD,Summary TBD,4,https://amazon.com/dp/6tv10ezfuo,https://images-na.ssl-images-amazon.com/images/P/1449310652.01.L.jpg,Personalized explanation TBD,"user research, prototyping, agile methodology, design thinking, cross-functional collaboration",intermediate,general,framework-driven,1449310652,Yes
55,Thinking in Bets,Author TBD,Summary TBD,4,https://amazon.com/dp/kxzmh6hs3p,https://images-na.ssl-images-amazon.com/images/P/0735216355.01.L.jpg,Personalized explanation TBD,"decision making, strategic thinking, experimentation, product leadership",intermediate,general,narrative,0735216355,Yes
56,Design Sprint: How to Solve Big Problems and Test New Ideas in Just Five Days,Author TBD,Summary TBD,4,https://amazon.com/dp/mrq2m9nnot,https://images-na.ssl-images-amazon.com/images/P/1501121744.01.L.jpg,Personalized explanation TBD,"design sprint, prototyping, user research, problem validation, cross-functional collaboration",beginner,general,framework-driven,1501121744,Yes
57,Interviewing Users,Author TBD,Summary TBD,4,https://amazon.com/dp/93cidv36sq,https://images-na.ssl-images-amazon.com/images/P/193382011X.01.L.jpg,Personalized explanation TBD,"user interviews, user research, ethnographic research, problem validation, customer discovery",beginner,general,framework-driven,193382011X,Yes
58,This is Service Design Doing,Author TBD,Summary TBD,4,https://amazon.com/dp/ju43xbhg27,https://images-na.ssl-images-amazon.com/images/P/9063694507.01.L.jpg,Personalized explanation TBD,"user experience, service design, design thinking, user research, cross-functional collaboration",advanced,general,reference-style,9063694507,Yes
59,The Manager's Path,Author TBD,Summary TBD,4,https://amazon.com/dp/1bwy6xyt0j,https://images-na.ssl-images-amazon.com/images/P/1491973897.01.L.jpg,Personalized explanation TBD,"team management, mentoring, strategic leadership, professional development, organizational design",intermediate,general,framework-driven,1491973897,Yes
60,A Philosophy of Software Design,Author TBD,Summary TBD,4,https://amazon.com/dp/q42k6dakcg,https://images-na.ssl-images-amazon.com/images/P/1732102211.01.L.jpg,Personalized explanation TBD,"product development lifecycle, technical skills, strategic thinking, b2b products",advanced,general,theoretical,1732102211,Yes
61,System Design Interview: An Insider's Guide,Author TBD,Summary TBD,4,https://amazon.com/dp/fvzrg64vo6,https://images-na.ssl-images-amazon.com/images/P/1736049116.01.L.jpg,Personalized explanation TBD,"product development lifecycle, technical skills, b2b products, saas, interview preparation",advanced,general,reference-style,1736049116,Yes
62,Think Like a UX Researcher,Author TBD,Summary TBD,4,https://amazon.com/dp/s2myaex4qu,https://images-na.ssl-images-amazon.com/images/P/1138360595.01.L.jpg,Personalized explanation TBD,"user research, usability testing, ethnographic research, user interviews, problem validation",intermediate,general,framework-driven,1138360595,Yes
63,Making Things Happen,Author TBD,Summary TBD,4,https://amazon.com/dp/hqspi7h39k,https://images-na.ssl-images-amazon.com/images/P/0596517718.01.L.jpg,Personalized explanation TBD,"product development lifecycle, project management, cross-functional collaboration, team management, decision making",intermediate,general,framework-driven,0596517718,Yes
64,Radical Candor: Be a Kick-Ass Boss Without Losing Your Humanity,Author TBD,Summary TBD,4,https://amazon.com/dp/sc0youo6lz,https://images-na.ssl-images-amazon.com/images/P/1250103509.01.L.jpg,Personalized explanation TBD,"team management, mentoring, executive communication, conflict resolution, professional development",beginner,general,narrative,1250103509,Yes
65,Selling to Big Companies: Winning Strategies for Landing the Clients You Want,Author TBD,Summary TBD,4,https://amazon.com/dp/tvuoykhxx6,https://images-na.ssl-images-amazon.com/images/P/1591841402.01.L.jpg,Personalized explanation TBD,"go-to-market strategy, b2b products, stakeholder management, product positioning, sales enablement",intermediate,general,framework-driven,1591841402,Yes
66,Hooked: How to Build Habit-Forming Products,Author TBD,Summary TBD,4,https://amazon.com/dp/e5oyoat008,https://images-na.ssl-images-amazon.com/images/P/1591847788.01.L.jpg,Personalized explanation TBD,"user experience, product-market fit, user research, b2c products, behavioral design",beginner,general,framework-driven,1591847788,Yes
67,The Mom Test,Author TBD,Summary TBD,4,https://amazon.com/dp/wayslw0wkd,https://images-na.ssl-images-amazon.com/images/P/1492180742.01.L.jpg,Personalized explanation TBD,"customer discovery, problem validation, user interviews, market validation, b2b products",beginner,general,framework-driven,1492180742,Yes
68,Build: An Unorthodox Guide to Making Things Worth Making,Author TBD,Summary TBD,4,https://amazon.com/dp/3g6g1anvbe,https://images-na.ssl-images-amazon.com/images/P/0593652886.01.L.jpg,Personalized explanation TBD,"product leadership, product vision, professional development, b2c products, career transition",intermediate,general,narrative,0593652886,Yes
69,"Measure What Matters: How Google, Bono, and the Gates Foundation Rock the World with OKRs",Author TBD,Summary TBD,4,https://amazon.com/dp/u9jo9513wl,https://images-na.ssl-images-amazon.com/images/P/0525536221.01.L.jpg,Personalized explanation TBD,"metrics & kpis, strategic leadership, product vision, team management, experimentation",intermediate,general,case studies,0525536221,Yes
70,"Play Bigger: How Pirates, Dreamers, and Innovators Create and Dominate Markets",Author TBD,Summary TBD,4,https://amazon.com/dp/ewwwya8rtx,https://images-na.ssl-images-amazon.com/images/P/0062407619.01.L.jpg,Personalized explanation TBD,"product positioning, go-to-market strategy, product vision, market research, b2c products",intermediate,general,case studies,0062407619,Yes
71,Blue Ocean Strategy,Author TBD,Summary TBD,4,https://amazon.com/dp/zi9p4t8pn1,https://images-na.ssl-images-amazon.com/images/P/1591396190.01.L.jpg,Personalized explanation TBD,"product positioning, go-to-market strategy, strategic thinking, market research, business model",intermediate,general,framework-driven,1591396190,Yes
72,Crossing the Chasm: Marketing and Selling Disruptive Products to Mainstream Customers,Author TBD,Summary TBD,4,https://amazon.com/dp/6ydiienmvv,https://images-na.ssl-images-amazon.com/images/P/0060517123.01.L.jpg,Personalized explanation TBD,"go-to-market strategy, product-market fit, b2b products, market research, product positioning",intermediate,general,framework-driven,0060517123,Yes
73,Product-Led Growth: How to Build a Product That Sells Itself,Author TBD,Summary TBD,4,https://amazon.com/dp/tmlnpfr87f,https://images-na.ssl-images-amazon.com/images/P/1736096802.01.L.jpg,Personalized explanation TBD,"product-market fit, user experience, growth, saas, conversion optimization",intermediate,general,framework-driven,1736096802,Yes
74,"Obviously Awesome: How to Nail Product Positioning So Customers Get It, Buy It, Love It",Author TBD,Summary TBD,4,https://amazon.com/dp/4lays6ztgw,https://images-na.ssl-images-amazon.com/images/P/0990476302.01.L.jpg,Personalized explanation TBD,"product positioning, go-to-market strategy, market research, b2b products, b2c products",beginner,general,framework-driven,0990476302,Yes
75,"Working Backwards: Insights, Stories, and Secrets from Inside Amazon",Author TBD,Summary TBD,4,https://amazon.com/dp/ifd054b6tk,https://images-na.ssl-images-amazon.com/images/P/1250267595.01.L.jpg,Personalized explanation TBD,"""product leadership, product vision, strategic thinking, team management, customer discovery"" ",intermediate,general,case studies ,1250267595,Yes
